,Ticker
0,N1H.AX
1,1K2.BE
2,2RM.BE
3,OEDV
4,AAPL
5,BAC
6,AMZN
7,T
8,GOOG
9,MO
10,DAL
11,AA
12,AXP
13,DD
14,BABA
15,ABT
16,UA
17,AMAT
18,AMGN
19,AAL
20,AIG
21,ALL
22,ADBE
23,GOOGL
24,ACN
25,ABBV
26,MT
27,LLY
28,AGN
29,APA
30,ADP
31,APC
32,AKAM
33,NLY
34,ABX
35,ATVI
36,ADSK
37,ADM
38,BMH.AX
39,WBA
40,ARNA
41,LUV
42,ACAD
43,PANW
44,AMD
45,AET
46,AEP
47,ALXN
48,CLMS
49,AVGO
50,EA
51,DB
52,RAI
53,AEM
54,APD
55,AMBA
56,NVS
57,APOL
58,ANF
59,LULU
60,RAD
61,BRK.AX
62,ARRY
63,AGNC
64,JBLU
65,A
66,ORLY
67,FOLD
68,AZO
69,ATML
70,AN
71,AZN
72,AES
73,GAS
74,BUD
75,ARR
76,BDX
77,AKS
78,AB
79,ACOR
80,CS
81,AFL
82,ADI
83,AEGR
84,ACIW
85,AMP
86,AVP
87,AMTD
88,AEO
89,AWK
90,NVO
91,ALTR
92,ALK
93,PAA
94,MTU.AX
95,ARCC
96,AAP
97,NAT
98,FNMA
99,FAV
100,AIV
101,AGIO
102,AEE
103,UBS
104,AVXL
105,ARLP
106,ANTM
107,AGU
108,AG
109,AFSI
110,ABC
111,STO
112,ATI
113,ADT
114,AVB
115,ATW
116,ALNY
117,LH
118,AVY
119,AUY
120,ASH
121,ARMH
122,ARIA
123,ANR
124,AINV
125,ACXM
126,ACHN
127,ACET
128,ABMD
129,ABM
130,VA
131,LIFE
132,ATO
133,ARP
134,AON
135,ADXS
136,ADC
137,APU
138,SAVE
139,AV
140,AKRX
141,ADS
142,ABAX
143,AYI
144,AWH
145,ASML
146,AMT
147,ALDR
148,ACM
149,DWA
150,ATRS
151,ARW
152,ARI
153,ARG
154,AR
155,AMCC
156,AMC
157,AL
158,AGEN
159,AAN
160,WTR
161,FCAU
162,BAH
163,AXAS
164,AVT
165,ALB
166,AIZ
167,SAIC
168,CAR
169,AXLL
170,AU
171,ARO
172,APH
173,ANTH
174,AMX
175,AMDA
176,AI
177,ABCO
178,WMC
179,MPX.AX
180,JKHY
181,AVAV
182,AMKR
183,ALJ
184,ACH
185,GPH.AX
186,ERC
187,APPY
188,ANAC
189,AEIS
190,Y
191,MTGE
192,CENX
193,ASPS
194,AMRN
195,AMPE
196,AMAG
197,ALKS
198,AFFX
199,ADES
200,ACAT
201,AAON
202,XLRN
203,VRSK
204,VJET
205,OA
206,ATLS
207,APTS
208,APO
209,ALSK
210,ALG
211,AHC
212,ACTG
213,ACAS
214,RBA
215,MAA
216,BAM
217,ATHN
218,AT
219,ASX
220,ARCO
221,ANET
222,ANCX
223,AIR
224,AF
225,WAB
226,RS
227,PKG
228,CSH
229,AXDX
230,AVHI
231,AVA
232,ATHX
233,ARWR
234,ANGI
235,AMG
236,ALSN
237,ALGN
238,AKBA
239,AGO
240,AEZS
241,ACRX
242,ROK
243,GLPI
244,DNI
245,AZZ
246,ATRC
247,ARRS
248,ARMK
249,AOS
250,ANFI
251,AMID
252,AMCX
253,ALIM
254,ALE
255,AHT
256,ACW
257,ABB
258,AALI.JK
259,SPR
260,SEE
261,RDEN
262,PAAS
263,DLPH
264,ADAC
265,CBL
266,BBVA
267,AYR
268,APOG
269,ANDE
270,AMSC
271,AMRS
272,AMED
273,ALEX
274,ALCO
275,ADUS
276,ACTA
277,ACST
278,AAWW
279,WMS
280,PAG
281,MDRX
282,KLIC
283,ETH
284,AZPN
285,AXE
286,ATNY
287,APRI
288,AMH
289,AME
290,AJG
291,AIQ
292,AHGP
293,AGCO
294,AERI
295,ACRE
296,ABEO
297,WAL
298,SYT
299,SHLM
300,NOG
301,HTA
302,GIII
303,DAVE
304,CVU
305,BSI
306,AWAY
307,ATU
308,ASTI
309,AREX
310,ARE
311,ANSS
312,AMNB
313,AMBS
314,ALR
315,AIXG
316,AIN
317,AHL
318,AGX
319,AEG
320,ADTN
321,ADMS
322,ACLS
323,ABG
324,ZX
325,NXJ
326,KS
327,HOLI
328,GPI
329,ENI
330,BEAV
331,AXTA
332,AWR
333,AWI
334,AVEO
335,AUO
336,ATHM
337,ATAX
338,ASM
339,AROC
340,ANH
341,ALX
342,AHS
343,AGI
344,AER
345,AE
346,RHHBY
347,PETX
348,ODC
349,NAO
350,KAR
351,HUSA
352,HIVE
353,FMS
354,DOX
355,CXW
356,AZUR
357,AXS
358,AXL
359,AWX
360,AVID
361,ASNA
362,ASGN
363,ARDX
364,ARAY
365,AQXP
366,APT
367,APDN
368,AMBC
369,ALGT
370,ALDW
371,AIT
372,AIRM
373,AIMC
374,AEL
375,AEHR
376,ADHD
377,ACUR
378,ACHC
379,ACFC
380,ACCO
381,ABY
382,TA
383,RPAI
384,MANH
385,LAMR
386,KYN
387,AXN
388,ATRO
389,ATNI
390,ARCW
391,APEI
392,AP
393,ANIK
394,ANGO
395,AMTG
396,AMSG
397,AMOT
398,AM
399,ALV
400,ALOG
401,AKR
402,AEGN
403,ADS.DE
404,ZLTQ
405,WRLD
406,UHAL
407,UAMY
408,SAH
409,RJET
410,NAII
411,AQNM
412,CAS
413,CACC
414,ATSG
415,ASEI
416,ASB
417,ARTX
418,AROW
419,ARCB
420,AMRK
421,ALRM
422,AHP
423,AGRX
424,AFAM
425,ADK
426,ACSF
427,ABTL
428,ABGB
429,ABEV
430,ABCD
431,AAOI
432,USAP
433,STFC
434,STAY
435,SEED
436,RGA
437,IDSA
438,HART
439,CH
440,CEA
441,BREW
442,AXR
443,AVG
444,AVD
445,AUDC
446,ATRI
447,ATOS
448,ARC
449,APIC
450,AOSL
451,AOI
452,AMWD
453,ALXA
454,ALLY
455,AIRI
456,AFOP
457,ACGL
458,ACFN
459,ABR
460,ABCB
461,SAMG
462,REXI
463,RAIL
464,NSAM
465,MITT
466,LCM
467,HASI
468,GOL
469,GIL
470,EAD
471,ATTO
472,ATR
473,ATNM
474,ASTC
475,ASR
476,ASC
477,ARTNA
478,ARGS
479,AOD
480,AGNCP
481,ADRO
482,ACNB
483,AAV
484,AAT
485,ZNH
486,UAM
487,NTT
488,NFJ
489,LNT
490,KALU
491,HOMB
492,HIX
493,FAF
494,FAC
495,EGT
496,CAAS
497,BGR
498,BETR
499,AUPH
500,ATV
501,ATLC
502,AST
503,ARIS
504,ARCI
505,APLE
506,ANY
507,ANIP
508,AMSWA
509,AMSF
510,ALLT
511,AKTX
512,AGYS
513,AGTC
514,AFG
515,ADDYY
516,AAVL
517,WAIR
518,RESI
519,LND
520,LFL
521,HRT
522,ESD
523,ECF
524,DGLY
525,CIK
526,CII
527,CHOP
528,CCD
529,CADC
530,AYA
531,AWRE
532,AVV
533,AVNW
534,ATRM
535,APPF
536,AFFMQ
537,AMRI
538,AMCN
539,AMCF
540,ALTI
541,ALLE
542,AJRD
543,AHH
544,AGM
545,AGII
546,AFCB
547,AEPI
548,ADMA
549,ABCW
550,AAME
551,TEO
552,SRAQU
553,SINO
554,OMAB
555,NOA
556,NCZ
557,MTT
558,MHG
559,JAGX
560,ISL
561,HIO
562,GRR
563,FAX
564,ENL
565,DIT
566,CRMT
567,CRESY
568,CGA
569,CAF
570,ATRA
571,ATEN
572,ATEC
573,ARLZ
574,ARII
575,ARDM
576,ARDC
577,ARCX
578,APPS
579,APHB
580,ANW
581,ANAT
582,ANAD
583,AKAO
584,AGHI
585,AETI
586,AEB
587,ADPT
588,ADMP
589,ACRS
590,ACC
591,ABEOW
592,ABDC
593,REX
594,PAC
595,NNA
596,NAUH
597,IGD
598,HMNY
